Date,Open,High,Low,Close,Adj Close,Volume
05-02-2010,486,545,478,513.450012,513.450012,1112
06-02-2010,null,null,null,null,null,null
08-02-2010,475.149994,485,475.049988,482.049988,482.049988,700
09-02-2010,489.950012,490,481,485.799988,485.799988,141
10-02-2010,489.850006,489.850006,478.149994,480.649994,480.649994,249
11-02-2010,482.5,490,481.950012,485,485,115
15-02-2010,490,490,478.100006,479.649994,479.649994,250
16-02-2010,481.100006,490,481.100006,488.799988,488.799988,132
17-02-2010,494.799988,494.799988,491,494.100006,494.100006,81
18-02-2010,495,497,490,491,491,76
19-02-2010,486.75,495,484.799988,486.350006,486.350006,68
22-02-2010,492.149994,495,490,490,490,65
23-02-2010,487.549988,493.649994,487.549988,493.649994,493.649994,79
24-02-2010,488.049988,495,487,487.049988,487.049988,426
25-02-2010,487.149994,490,486,489.600006,489.600006,503
26-02-2010,488.649994,504.950012,488.649994,493.5,493.5,1783
02-03-2010,480.049988,507.5,409.850006,503.850006,503.850006,1252
03-03-2010,505.850006,509.950012,505.850006,509.5,509.5,692
04-03-2010,510,510.700012,507.399994,510.149994,510.149994,78
05-03-2010,511.100006,515,508,510.049988,510.049988,855
08-03-2010,513.799988,516,511.899994,512.799988,512.799988,269
09-03-2010,512.349976,515.450012,510,510.600006,510.600006,416
10-03-2010,514.700012,515.900024,512,514,514,2720
11-03-2010,510,517.450012,510,515.549988,515.549988,479
12-03-2010,516.299988,516.5,514.200012,514.75,514.75,1206
15-03-2010,512.599976,515.799988,512.099976,514,514,609
16-03-2010,515,522.25,515,522.099976,522.099976,356
17-03-2010,526.049988,527.25,521.5,525.75,525.75,456
18-03-2010,525,526,524.299988,524.950012,524.950012,100
19-03-2010,525.25,528.5,524.650024,528.349976,528.349976,2230
22-03-2010,525.349976,527.099976,523,523.200012,523.200012,866
23-03-2010,523.650024,525.799988,521.650024,524.150024,524.150024,103
25-03-2010,522.25,528,522.049988,527.650024,527.650024,145
26-03-2010,540,540,528,529.150024,529.150024,1092
29-03-2010,529.150024,533.5,527.049988,528.900024,528.900024,256
30-03-2010,530.900024,532.5,528,529.400024,529.400024,526
31-03-2010,528,528,525.099976,526.200012,526.200012,906
01-04-2010,530.150024,531,527.849976,530.75,530.75,40
